MRS,HARC,SRS,TST,TRA,TRB,LARC,SWD
MRS-001,,,,,,,
MRS-002,HARC-001,,,,,,
MRS-002,HARC-003,,,,,,
MRS-002,,SRS-001,TST-020,,,,
MRS-002,,SRS-002,,,,,
MRS-003,HARC-003,,,,,,
MRS-004,HARC-001,,,,,,
MRS-004,HARC-002,,,,,,
MRS-004,HARC-003,,,,,,
MRS-004,,SRS-037,TST-015,TRA-013,,,
MRS-004,,SRS-037,TST-016,TRA-014,,,
MRS-004,,SRS-040,,,,LARC-010,SWD-009
MRS-004,,SRS-041,,,,LARC-011,SWD-012
MRS-005,HARC-003,,,,,,
MRS-005,,SRS-003,TST-021,,,,
MRS-005,,SRS-004,TST-023,,,,
MRS-005,,SRS-004,TST-024,,,,
MRS-006,HARC-003,,,,,,
MRS-006,,SRS-005,,,,,
MRS-007,HARC-003,,,,,,
MRS-007,,SRS-006,,,,,
MRS-008,HARC-003,,,,,,
MRS-008,,SRS-007,TST-026,,,,
MRS-009,,SRS-008,TST-019,,,,
MRS-011,HARC-003,,,,,,
MRS-011,,SRS-009,,,,,
MRS-012,HARC-003,,,,,,
MRS-012,,SRS-010,TST-025,,,,
MRS-013,HARC-003,,,,,,
MRS-013,,SRS-011,TST-027,,,,
MRS-013,,SRS-011,TST-028,,,,
MRS-013,,SRS-011,TST-032,,,,
MRS-013,,SRS-012,,,,,
MRS-013,,SRS-013,,,,,
MRS-014,,SRS-014,,,,,
MRS-014,,SRS-015,,,,,
MRS-015,,SRS-016,TST-029,,,,
MRS-015,,SRS-016,TST-030,,,,
MRS-015,,SRS-017,TST-034,,,,
MRS-015,,SRS-018,,,,LARC-012,SWD-014
MRS-015,,SRS-019,,,,,
MRS-015,,SRS-020,,,,,
MRS-015,,SRS-021,,,,LARC-012,SWD-014
MRS-015,,SRS-022,TST-035,,,,
MRS-016,,SRS-023,TST-022,,,,
MRS-017,HARC-003,,,,,,
MRS-017,,SRS-043,TST-033,,,,
MRS-018,HARC-003,,,,,,
MRS-018,,SRS-024,TST-031,,,,
MRS-018,,SRS-042,TST-018,,,,
MRS-018,,SRS-042,,,,LARC-013,
MRS-018,,SRS-042,,,,LARC-014,SWD-015
MRS-018,,SRS-042,,,,LARC-014,SWD-016
MRS-018,,SRS-042,,,,LARC-014,SWD-017
MRS-019,HARC-003,,,,,,
MRS-020,HARC-003,,,,,,
MRS-020,,SRS-044,TST-003,TRA-003,,,
MRS-020,,SRS-044,TST-003,TRA-004,,,
MRS-020,,SRS-044,TST-003,TRA-020,,,
MRS-020,,SRS-044,TST-003,,TRB-003,,
MRS-020,,SRS-046,TST-001,TRA-001,,,
MRS-020,,SRS-046,TST-001,,TRB-002,,
MRS-021,,SRS-049,TST-017,,TRB-001,,
MRS-022,HARC-003,,,,,,
MRS-023,,SRS-025,TST-036,,,,
MRS-024,,,,,,,
MRS-025,,SRS-026,,,,,
MRS-026,,SRS-045,TST-040,,,,
MRS-027,,,,,,,
MRS-028,,,,,,,
MRS-029,,,,,,,
MRS-030,,SRS-027,TST-007,TRA-008,,,
MRS-030,,SRS-027,TST-008,TRA-009,,,
MRS-030,,SRS-027,TST-008,TRA-018,,,
MRS-030,,SRS-027,TST-011,TRA-011,,,
MRS-030,,SRS-027,TST-011,,TRB-007,,
MRS-030,,SRS-027,TST-012,TRA-016,,,
MRS-030,,SRS-027,,,,LARC-008,SWD-002
MRS-030,,SRS-027,,,,LARC-008,SWD-013
MRS-030,,SRS-038,TST-013,TRA-012,,,
MRS-030,,SRS-038,TST-014,TRA-015,,,
MRS-030,,SRS-038,,,,LARC-001,SWD-001
MRS-030,,SRS-047,TST-004,TRA-005,,,
MRS-030,,SRS-047,TST-004,,TRB-004,,
MRS-030,,SRS-048,TST-005,TRA-006,,,
MRS-030,,SRS-048,TST-005,,TRB-005,,
MRS-030,,SRS-048,TST-006,TRA-007,,,
MRS-030,,SRS-048,TST-006,TRA-019,,,
MRS-031,HARC-002,,,,,,
MRS-031,,SRS-028,,,,,
MRS-031,,SRS-039,,,,LARC-009,SWD-003
MRS-031,,SRS-039,,,,LARC-009,SWD-004
MRS-031,,SRS-039,,,,LARC-009,SWD-005
MRS-031,,SRS-039,,,,LARC-009,SWD-006
MRS-031,,SRS-039,,,,LARC-009,SWD-007
MRS-031,,SRS-039,,,,LARC-009,SWD-008
MRS-032,HARC-001,,,,,,
MRS-032,HARC-002,,,,,,
MRS-032,HARC-003,,,,,,
MRS-032,,SRS-029,,,,LARC-003,SWD-010
MRS-032,,SRS-029,,,,LARC-003,SWD-011
MRS-033,HARC-001,,,,,,
MRS-033,HARC-002,,,,,,
MRS-033,HARC-003,,,,,,
MRS-034,,SRS-030,TST-037,,,,
MRS-034,,SRS-031,TST-038,,,,
MRS-034,,SRS-032,TST-039,,,,
MRS-035,,,,,,,
MRS-036,,,,,,,
MRS-037,HARC-003,,,,,,
MRS-037,,SRS-033,,,,LARC-004,
MRS-037,,SRS-033,,,,LARC-005,
MRS-037,,SRS-033,,,,LARC-006,
MRS-037,,SRS-033,,,,LARC-007,
MRS-038,,,,,,,
MRS-039,HARC-001,,,,,,
MRS-039,HARC-002,,,,,,
MRS-039,HARC-003,,,,,,
MRS-039,,SRS-035,TST-009,TRA-010,,,
MRS-039,,SRS-035,TST-009,,TRB-006,,
MRS-039,,SRS-035,TST-010,TRA-017,,,
MRS-039,,SRS-035,,,,LARC-002,SWD-002
MRS-039,,SRS-035,,,,LARC-002,SWD-013
MRS-040,HARC-003,,,,,,
MRS-040,,SRS-036,,,,,
MRS-041,HARC-001,,,,,,
MRS-041,HARC-002,,,,,,
MRS-041,HARC-003,,,,,,
,,,TST-041,,,,
