id,date,user,pc,filename,content
{K2J1-I4QF06RY-3532YBGN},08/12/2010 14:54,BBS0039,PC-9436,GGX5KL22.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 effective easy username secure trial captured protect download secure surveillance recommend keylogging activity recommend program keyboard secure download keylogging email captured monitor easy password covert malware program keylogging surveillance download hidden undetectable stealth keyboard program program stealth keyboard stealth monitor useful file gui pc username email monitor useful file"
{A5G9-U0DS24RQ-5724QSCY},09/30/2010 16:10:39,BSS0369,PC-3672,TBDZA9ME.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 download activity file covert free surveillance keyboard program username monitor download username password captured easy free malware password pc surveillance hidden activity password effective easy recommend stealth undetectable email effective pc hidden keylogging protect useful surveillance useful keylogging gui easy"
{U7G3-A8EW52IB-8665QMTJ},10/14/2010 15:25:17,CCA0046,PC-8865,2FUNBP4T.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 secure easy free easy captured keyboard keyboard everything trial password protect covert password program protect username trial download email illegal easy keyboard surveillance everything surveillance monitor activity surveillance captured easy password easy easy advanced advanced monitor monitor easy everything monitor surveillance illegal useful program everything download advanced advanced surveillance email keyboard"
{E5M5-D6KI89WL-2909ZPOD},06/10/2010 15:20,CSC0217,PC-6377,6UQIYOYG.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 stealth surveillance hidden keyboard hidden protect download file protect secure password download everything captured file keylogging monitor malware covert download email password advanced keyboard free malware captured easy activity advanced advanced email monitor download captured gui pc everything program covert recommend"
{V8U7-S1VH94XJ-9439FHZH},06/17/2010 15:14:29,GTD0219,PC-6425,L51C89H0.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 protect keylogging recommend covert undetectable keyboard surveillance username activity program download pc password pc gui effective pc monitor captured advanced pc everything malware trial monitor keyboard easy hidden everything effective protect pc monitor pc surveillance easy keylogging protect everything easy stealth keyboard download easy program captured effective illegal"
{E1M3-R7DK26GA-8518UDJS},07/15/2010 15:20:57,JGT0221,PC-2948,VOOGIXCQ.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 keylogging secure hidden malware keylogging covert gui surveillance password activity username download undetectable download hidden activity everything undetectable file stealth password surveillance advanced download program free protect easy undetectable recommend password password username username password protect illegal covert program keylogging keylogging"
{Y1C2-E8OP55AB-3637STMG},04/28/2011 16:06:52,JLM0364,PC-3791,7ESLQOMY.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 easy username free monitor password advanced covert gui program undetectable email activity malware keyboard undetectable undetectable undetectable secure everything captured secure monitor surveillance stealth everything covert malware malware keylogging keylogging free everything pc file captured password gui recommend email effective hidden pc easy activity username keyboard free covert easy download download"
{Y9S9-O8JY62WK-5122FYHK},07/22/2010 15:11:09,JTM0223,PC-9681,1OVEKEF2.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 hidden easy username effective program password illegal download file recommend protect password password protect download email surveillance captured advanced surveillance easy effective username captured advanced file illegal undetectable surveillance stealth easy username surveillance covert keylogging free username keylogging illegal file recommend password recommend keylogging monitor covert keyboard everything keyboard recommend program program keyboard program monitor illegal covert trial captured effective illegal gui easy secure download download"
{Y8V1-M0YK81DK-8272ZWUF},11/04/2010 15:19,MPM0220,PC-2344,AZTCQ3OG.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 file keylogging keyboard keylogging keylogging covert protect surveillance username easy undetectable useful surveillance free hidden username easy monitor keyboard surveillance undetectable effective free download everything advanced download secure free effective keyboard download activity protect keyboard pc captured malware"
{G8F9-T3DN98MC-1163PAKR},12/09/2010 15:23,MSO0222,PC-2524,GQD6RTKP.exe,"4D-5A-90-00-03-00-00-00-04-00-00-00-FF-FF-00-00-B8-00-00-00-00-00-00-00-40-00 file undetectable username malware everything pc free stealth monitor free monitor captured free covert easy file username surveillance covert pc pc file download keylogging keyboard surveillance covert free free gui easy keylogging email stealth email hidden effective keylogging password monitor malware stealth surveillance advanced username easy hidden secure captured gui everything pc"
