index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover
272751,2020-02-07 00:00:01.212,-6556021706152194581,,37.97.18.236,NO,-,-,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 ( like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,False,False,False
272752,2020-02-07 00:00:11.720,-4324475583306591935,,10.0.55.216,NO,Oslo County,Oslo,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 ( like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,False,False,False
272753,2020-02-07 00:00:18.300,2014864563842731894,,185.100.176.37,GB,-,-,200148,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/605.1.15 ( like Gecko Chrome/63.0.3239.108 Mobile Safari/604.1 variation/42966",Chrome Mobile 63.0.3239,Android 4.1,mobile,True,False,False
272754,2020-02-07 00:00:23.524,-4324475583306591935,,170.39.76.114,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/537.36 ( like Gecko Chrome/83.0.4103.294.15 Safari/537.36",Chrome 83.0.4103.294,iOS 9.3.1,tablet,False,False,False
272755,2020-02-07 00:00:26.907,-4324475583306591935,,93.89.225.109,TR,-,-,51557,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 ( like Gecko) Chrome/81.0.4044.1963.138 Mobile Safari/537.36 variation/87521",Chrome Mobile 81.0.4044.1963,Android 5.5.1,mobile,False,True,False
272756,2020-02-07 00:00:32.990,-4324475583306591935,,93.89.225.109,TR,-,-,51557,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 ( like Gecko) Chrome/81.0.4044.1963.138 Mobile Safari/537.36 variation/87521",Chrome Mobile 81.0.4044.1963,Android 5.5.1,mobile,False,True,False
272757,2020-02-07 00:00:33.473,4166790120462809463,,46.212.94.47,NO,Viken,Klofta,41164,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 ( like Gecko) Chrome/69.0.3497.17.19.81 Safari/537.36 variation/6267",Chrome 69.0.3497.17.19,Mac OS X 10.14.6,desktop,True,False,False
272758,2020-02-07 00:00:35.835,3363036041811986711,,10.1.39.88,NO,Viken,Fredrikstad,500036,"Mozilla/5.0  (iPad; CPU OS 7_1 like Mac OS X) AppleWebKit/533.1 ( like Gecko Version/4.0 Mobile Safari/533.1 variation/294298",Android 2.3.3.2672,iOS 7.1,tablet,True,False,False
272759,2020-02-07 00:00:37.872,-4324475583306591935,,10.4.37.36,HN,-,-,52262,"Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) AppleWebKit/537.36 ( like Gecko Chrome/88.0.4324.181 Mobile Safari/537.36 OPT/2.9",Chrome Mobile 88.0.4324,Android 6.0.99,mobile,False,False,False
272760,2020-02-07 00:00:39.763,6059857953214350710,,103.214.139.210,IN,West Bengal,Kolkata,45775,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 ( like Gecko Chrome/69.0.3497.17.19.95 Safari/537.36",Chrome 69.0.3497.17.19,Chrome OS 5978.98.0,desktop,True,False,False
